,mse,training_time,layer0_nodes,alpha,n_layers,layer1_nodes
0,0.04417732456988701,0.34399999999732245,8,0.0001,2,
1,0.028412966715323396,0.3280000000013388,8,0.0001,2,
2,0.033782197082971324,0.3280000000013388,8,0.0001,2,
3,0.03832502586513075,0.3279999999940628,8,0.0001,2,
4,0.027015812570350697,0.3280000000013388,8,0.0001,2,
5,0.04878917988876554,0.3280000000013388,8,0.0001,2,
6,0.036951298127979086,0.3280000000013388,8,0.0001,2,
7,0.036564652139378755,0.3280000000013388,8,0.0001,2,
8,0.03024146751570913,0.3289999999979045,8,0.0001,2,
9,0.032433369190783955,0.15600000000267755,8,0.0001,2,
10,0.021710873772900364,0.31199999999807915,8,0.0001,2,
11,0.06889682133381396,0.3120000000053551,8,0.0001,2,
12,0.025082113745065998,0.3289999999979045,8,0.0001,2,
13,0.02778863050504883,0.3280000000013388,8,0.0001,2,
14,0.02462101244048453,0.3280000000013388,8,0.0001,2,
15,0.03402332538984791,0.3279999999940628,8,0.0001,2,
16,0.05225861405090428,0.3280000000013388,8,0.0001,2,
17,0.023320480015065533,0.18699999999807915,8,0.0001,2,
18,0.02924270743287859,0.31300000000192085,8,0.0001,2,
19,0.02617436501754295,0.3280000000013388,8,0.0001,2,
20,0.029956948681275117,0.11000000000058208,8,0.0001,2,
21,0.02807249267034623,0.3279999999940628,8,0.0001,2,
22,0.06558843886156698,0.3280000000013388,8,0.0001,2,
23,0.08616247932437782,0.3280000000013388,8,0.0001,2,
24,0.028173603997522438,0.3280000000013388,8,0.0001,2,
25,0.03820146508700183,0.20300000000133878,8,0.0001,2,
26,0.037259552827080974,0.3289999999979045,8,0.0001,2,
27,0.040076266738622066,0.23399999999674037,8,0.0001,2,
28,0.027645246009498338,0.3440000000045984,8,0.0001,2,
29,0.03131275043913085,0.31199999999807915,8,0.0001,2,
30,0.03802222793117811,0.2969999999986612,8,0.0001,2,
31,0.027196407012103664,0.31300000000192085,8,0.0001,2,
32,0.03529034835483801,0.3280000000013388,8,0.0001,2,
33,0.08354638026484608,0.3280000000013388,8,0.0001,2,
34,0.023234399077793767,0.3279999999940628,8,0.0001,2,
35,0.0401546246070655,0.3280000000013388,8,0.0001,2,
36,0.0444947724484406,0.3280000000013388,8,0.0001,2,
37,0.03565487109945376,0.3280000000013388,8,0.0001,2,
38,0.026279753899851304,0.1569999999992433,8,0.0001,2,
39,0.03145694540798654,0.3280000000013388,8,0.0001,2,
40,0.03327316827331245,0.3280000000013388,8,0.0001,2,
41,0.07078493435444301,0.3279999999940628,8,0.0001,2,
42,0.03113070102828696,0.3280000000013388,8,0.0001,2,
43,0.03533511469300983,0.3280000000013388,8,0.0001,2,
44,0.041498128891245066,0.06300000000192085,8,0.0001,2,
45,0.0309272654964303,0.31199999999807915,8,0.0001,2,
46,0.058153205429632704,0.34399999999732245,8,0.0001,2,
47,0.03360685188505448,0.25,8,0.0001,2,
48,0.024773202437110228,0.3280000000013388,8,0.0001,2,
49,0.028203252547438058,0.3280000000013388,8,0.0001,2,
50,0.03330945941875063,0.21899999999732245,8,0.0001,2,
51,0.08612479543809937,0.3280000000013388,8,0.0001,2,
52,0.026081102724095476,0.3280000000013388,8,0.0001,2,
53,0.11866891482163529,0.3280000000013388,8,0.0001,2,
54,0.025640460032744172,0.3280000000013388,8,0.0001,2,
55,0.028327410423365323,0.2819999999992433,8,0.0001,2,
56,0.029505095665868227,0.1559999999954016,8,0.0001,2,
57,0.0273242109394565,0.25,8,0.0001,2,
58,0.0826800707058591,0.3280000000013388,8,0.0001,2,
59,0.03244269353208956,0.3280000000013388,8,0.0001,2,
60,0.025380264346992035,0.3280000000013388,8,0.0001,2,
61,0.06024893128146361,0.3280000000013388,8,0.0001,2,
62,0.03761594000388032,0.3289999999979045,8,0.0001,2,
63,0.03918023051743765,0.3280000000013388,8,0.0001,2,
64,0.024621099648278046,0.25,8,0.0001,2,
65,0.031471046734485066,0.3280000000013388,8,0.0001,2,
66,0.030471223727839447,0.3279999999940628,8,0.0001,2,
67,0.033130962876602145,0.3280000000013388,8,0.0001,2,
68,0.028076826816392845,0.3280000000013388,8,0.0001,2,
69,0.07463291374264493,0.3280000000013388,8,0.0001,2,
70,0.033004736594574584,0.3280000000013388,8,0.0001,2,
71,0.026842492576896162,0.3289999999979045,8,0.0001,2,
72,0.04866352934126044,0.31199999999807915,8,0.0001,2,
73,0.035307882521162536,0.2969999999986612,8,0.0001,2,
74,0.04298250302099812,0.3280000000013388,8,0.0001,2,
75,0.05188303925600739,0.31300000000192085,8,0.0001,2,
76,0.029472170101625287,0.3280000000013388,8,0.0001,2,
77,0.031102171795608514,0.3280000000013388,8,0.0001,2,
78,0.03080671153516523,0.34399999999732245,8,0.0001,2,
79,0.03476927017901429,0.3280000000013388,8,0.0001,2,
80,0.0439003566658267,0.3280000000013388,8,0.0001,2,
81,0.02757206492483513,0.3279999999940628,8,0.0001,2,
82,0.03026887331270726,0.10900000000401633,8,0.0001,2,
83,0.033939154287899155,0.3280000000013388,8,0.0001,2,
